ID,Nombre,Clasificación,Proceso,Periodicidad,Sentido,Fórmula,Responsable,Fuente
302,N de solicitudes radicadas,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
303,Cumplimiento del cronograma de actividades de salu,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
304,Impacto de Campañas de promoción y prevención,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
305,Cumplimiento del plan anual de mantenimiento de eq,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
306,Seguimiento KPI Plan de Desarrollo Institucional,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
307,Organización de escenarios de visibilidad nacional,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
308,Movilidad Física Entrantes Profesores,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
309,Movilidad Física Profesores Salientes,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
310,Movilidad Física Entrante Estudiantes,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
311,Movilidad Física Saliente Estudiantes,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
312,Clases espejo,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
313,Seminarios y cursos internacionales virtuales impa,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
314,N de asignaturas COIL - (Collaborative Online Inte,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
315,Num de programas con convenios de doble titulación,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
316,Asignaturas con sesiones en segundo idioma,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
317,Plan De Internacionalización A 7 Años,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
318,"Convenios, alianzas activas con actividades en los",✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
319,Nivel de cumplimiento de la gestión de internacion,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
320,Participación docentes Poli en eventos académicos ,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
321,Participación estudiantes Poli en eventos académic,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
323,Número de renovaciones de registro calificado,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
324,Número de programas nuevos radicados en el Ministe,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
325,Número de programas nuevos con registro calificado,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
326,Número de informes de autoevaluación con fines de ,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
327,Número de programas con obtención de acreditación ,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
328,Nivel de encuestas obtenidas en el encuentro insti,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
329,Participación en actividades diseñadas para gradua,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
331,Nivel de empleabilidad del graduado,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
332,Índice de rotación,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
334,Resultado de la evaluación 360 (evaluación por com,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
335,Cumplimiento de diagnóstico necesidades de capacit,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
336,Materiales bibliográficos en formato físico con es,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
337,Número de programas con renovación de acreditación,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
338,Número de programas con condiciones iniciales apro,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
339,Programas acreditables acreditados Sede Bogotá,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
340,Cumplimiento cronograma revisiones locativas,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
341,Reducción de costos en gestión de abastecimiento,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
344,Cumplimiento del plan de Inducción institucional,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
345,% de profesores impactados plan de desarrollo doce,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
346,% de profesores impactados en actividades de Biene,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
347,Legalizaciones y anticipos,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
348,Cuentas por pagar,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
349,Número de redes de investigación,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
350,"Centros de investigación, ciencia y de apoyo a CTI",✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
351,Partidas conciliatorias de bancos,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
352,Nivel de facturas generadas con error,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
353,Cobertura de tableros BI en procesos,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
354,Plan de formación en analitica,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
355,Indice de liquidez,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
356,Indice de Endeudamiento,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
357,Cartera,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
358,Acompañamiento a estudiantes en practicas,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
359,Satisfacción Institucional,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
360,Cumplimiento de cronogramas,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
361,Índice de Inclusión **,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
362,Aseguramiento de matricula académica presencial,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
363,Seguimiento a la parametrización de aulas master y,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
364,Impacto de actividades de Responsabilidad y proyec,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
365,Seguimiento de asignación docente a NRC Pregrado-P,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
366,Normalización de cobros pecuniarios,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
367,Estudiantes con Becas,✅,✅,✅,✅,⚠️,⚠️,Indicadores por CMI
