Id,Indicador,Clasificacion,Linea,Periodicidad,Meta,Objetivo,Orden CMI,Nivel
276,Relación Estudiante-Docente Tiempo completo,Estratégico,Calidad,Semestral,Al 2025 alcanzar la acreditación institucional en alta calidad de la sede Bogotá ,Asegurar la alta calidad a nivel institucional,6.0,Nivel 1
277,Relación estudiante docente Tiempo Completo Equivalente,Estratégico,Calidad,Semestral,Al 2025 alcanzar la acreditación institucional en alta calidad de la sede Bogotá ,Asegurar la alta calidad a nivel institucional,90.0,Nivel 1
278,Docentes contratados,Operativo,Calidad,Semestral,,Asegurar la alta calidad a nivel institucional,91.0,Nivel 3
279,Docentes tiempo completo,Operativo,Calidad,Semestral,,Asegurar la alta calidad a nivel institucional,92.0,Nivel 3
280,Docentes medio tiempo,Operativo,Calidad,Semestral,,Asegurar la alta calidad a nivel institucional,93.0,Nivel 3
281,Docentes cátedra,Operativo,Calidad,Semestral,,Asegurar la alta calidad a nivel institucional,94.0,Nivel 3
282,Docentes evaluados,Operativo,Calidad,Semestral,,Asegurar la alta calidad a nivel institucional,95.0,Nivel 3
283,Resultado evaluación docente,Operativo,Calidad,Semestral,,Asegurar la alta calidad a nivel institucional,96.0,Nivel 3
284,Número Horas semanales docentes,Operativo,Calidad,Semestral,,Asegurar la alta calidad a nivel institucional,97.0,Nivel 3
285,Docentes con plan de trabajo asignado,Operativo,Transformación_Organizacional,Semestral,,Fortalecer la gestión por procesos y la toma de decisiones basada en el análisis de los datos,323.0,Nivel 3
286,Total docentes por nivel de estudios,Operativo,Transformación_Organizacional,Semestral,,"Contar con un equipo humano feliz y apasionado, que trabaja de forma colaborativa para alcanzar las metas institucionales",324.0,Nivel 3
287,Número docentes escalafonados,Estratégico,Transformación_Organizacional,Semestral,,"Contar con un equipo humano feliz y apasionado, que trabaja de forma colaborativa para alcanzar las metas institucionales",325.0,Nivel 1
288,Número docentes escalafonados presentados en convocatoria,Operativo,Transformación_Organizacional,Semestral,,"Contar con un equipo humano feliz y apasionado, que trabaja de forma colaborativa para alcanzar las metas institucionales",326.0,Nivel 3
289,Cumplimiento plan de comunicaciones SGC,Operativo,Transformación_Organizacional,Trimestral,,Fortalecer la gestión por procesos y la toma de decisiones basada en el análisis de los datos,327.0,Nivel 3
290,Cierre eficaz de las oportunidades de mejora,Estratégico,Transformación_Organizacional,Bimestral,,Fortalecer la gestión por procesos y la toma de decisiones basada en el análisis de los datos,328.0,Nivel 1
291,Cumplimiento del cronograma de actividades deportivas,Operativo,Experiencia,Semestral,,Garantizar una experiencia significativa y de valor agregado a la comunidad POLI,173.0,Nivel 3
292,Participación en Actividades deportivas presenciales,Operativo,Experiencia,Semestral,,Garantizar una experiencia significativa y de valor agregado a la comunidad POLI,174.0,Nivel 3
293,Cumplimiento del cronograma de actividades culturales,Operativo,Experiencia,Semestral,,Garantizar una experiencia significativa y de valor agregado a la comunidad POLI,175.0,Nivel 3
294,Participación en actividades culturales presenciales,Operativo,Experiencia,Semestral,,Garantizar una experiencia significativa y de valor agregado a la comunidad POLI,176.0,Nivel 3
295,Cumplimiento Del Cierre De Oportunidades De Mejora De Auditoria,Operativo,Transformación_Organizacional,Semestral,,Fortalecer la gestión por procesos y la toma de decisiones basada en el análisis de los datos,329.0,Nivel 3
